id,name,image,keyword_one,keyword_two,keyword_three,price,brand,description
1,"apple mouse Lorem",../images/products/black-mouse.png,Wireless,"10, 000 dpi","Tracking sensor",1,apple,"Phasellus blandit, ipsum ut tristique venenatis, tellus justo eleifend libero, in viverra arcu orci in neque. Cras non justo interdum mi imperdiet porttitor vitae facilisis risus. Aenean sodales accumsan arcu bibendum elementum. Vestibulum ut libero mauris. Mauris in justo metus. Curabitur id luctus massa. Aliquam bibendum urna quam, eu cursus nulla dapibus vitae."
2,"razer keyboard Ipsum",../images/products/corsair-keyboard.png,Wireless,"3 year garantee","Red switch",2,razer,"Phasellus at ante justo. Donec faucibus massa sit amet eros posuere, nec lacinia augue tempor. Fusce at viverra est. Fusce consequat suscipit nunc, sit amet aliquam nunc aliquet nec. Nunc id ipsum nec elit condimentum feugiat. Aliquam volutpat dictum arcu, vel semper justo interdum sit amet. Mauris nec lobortis ex."
3,"logitech headset Dolor",../images/products/logitech-headset.png,Wireless,"Dolby audio","Noise cancelling",3,logitech,"Vivamus venenatis, justo sit amet suscipit congue, tellus libero feugiat justo, in facilisis tellus est sed libero. Aliquam quis blandit augue, eget placerat leo. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Integer et eleifend justo. Phasellus rutrum, nunc sed interdum aliquet, enim urna sagittis nisl, ac hendrerit ante urna sit amet est."
4,"microsoft laptop Sit",../images/products/asus-laptop.png,"12 hours battery","4k display","Ultra HD",4,microsoft,"Vestibulum auctor augue et ligula ultricies, rutrum tempus mauris gravida. Quisque fermentum posuere commodo. Cras eget ultricies tortor, in ultricies dui. Duis et congue metus, id facilisis diam. Phasellus a mauris est. Suspendisse volutpat mollis diam, tempor varius sem convallis vel. Pellentesque dapibus ante eget interdum egestas."
5,"asus monitor Amet",../images/products/acer-monitor.png,Curved,"32 inch","144 hz",5,asus,"Etiam nec libero sit amet felis euismod pharetra non ut tellus. Vestibulum interdum egestas viverra. Sed urna leo, tempus feugiat rhoncus et, dignissim id augue. Mauris at efficitur ligula. Vestibulum porttitor vitae ipsum ut vulputate. Suspendisse non porttitor urna. Suspendisse rutrum dapibus turpis vitae tincidunt. Integer nec rutrum mauris, at ornare purus. Mauris porttitor fringilla nibh non feugiat. Integer at massa vitae tortor convallis luctus."
6,"apple phone Consectetur",../images/products/iphone-gold.webp,"Fast charging","12 hours battery life","Ultra HD",6,apple,"Quisque rhoncus sapien et metus interdum, quis rutrum velit finibus. Donec eleifend ipsum semper, luctus augue vel, volutpat massa. Sed dignissim aliquet tellus, non ultricies nisi dapibus quis. Donec id egestas augue, quis tempus mi. Proin vel fermentum ligula. In sit amet augue metus. Sed ac dapibus dui, ut congue nibh. Ut tincidunt ac lacus eu placerat."
7,"razer mouse Adipiscing",../images/products/mouse-lion.jpg,"10, 000 dpi",Wireless,"Tracking sensor",7,razer,"Morbi rhoncus tempus leo, ac euismod urna iaculis et. Maecenas vitae ipsum in risus finibus rutrum efficitur non nisl. Vivamus blandit bibendum nunc id mollis. Cras lacinia vel dolor vel tempor. Cras tempus convallis risus, sed vehicula nibh tincidunt et. Fusce tincidunt sem vitae dui lacinia sagittis. Vestibulum leo leo, porttitor eu lectus at, sagittis dictum neque."
8,"steelseries mouse Elit",../images/products/msi-mouse.png,Wireless,"tracking sensor","10, 000 dpi",8,steelseries,"Pellentesque dictum mauris non varius congue. Aenean tincidunt molestie ullamcorper. Pellentesque euismod nisi lacus, non aliquam ante sodales efficitur. Aliquam erat volutpat. Fusce elit lectus, pretium at ligula et, tincidunt gravida massa. Aliquam dictum ut nisl non fringilla. Vivamus efficitur quis nunc vitae rutrum. Maecenas fermentum sagittis bibendum. Aenean maximus lectus at rhoncus tincidunt. Donec convallis elit laoreet egestas scelerisque."
9,"hyperx mouse Foor",../images/products/rgb-mouse.png,"Tracking sensor","10, 000 dpi",Wireless,9,hyperx,"Donec tristique efficitur tellus. Nulla tempus justo dolor. Morbi a laoreet mi, et interdum nibh. Donec id turpis quam. Phasellus sed lectus at augue dapibus gravida. Sed non odio mollis purus efficitur varius sed sed orci. Curabitur imperdiet euismod laoreet. Phasellus volutpat tellus dolor, a porttitor felis facilisis a."
10,"apple mouse Aliquam",../images/products/mouse-lion.jpg,Wireless,"10, 000 dpi","Tracking sensor",10,apple,"Sed placerat in tortor vel consectetur. Donec in dapibus magna. Sed vitae nulla tristique, elementum eros condimentum, efficitur odio. Praesent at lectus eu risus rutrum facilisis a nec leo. Fusce imperdiet, dui et lobortis eleifend, ante libero rhoncus justo, vitae efficitur enim mauris eget quam. Duis sagittis nibh eget odio sollicitudin, sed blandit felis laoreet."
11,"razer mouse Augue",../images/products/rgb-mouse.png,Wireless,"10, 000 dpi","Tracking sensor",11,razer,"Aliquam vel quam est. Mauris rhoncus nulla lobortis rutrum rhoncus. Cras viverra, tortor ut lobortis aliquam, arcu ex imperdiet nunc, at sagittis nulla justo sed diam. Vestibulum non viverra augue, sed consequat est. Proin neque nulla, rutrum vel lobortis quis, dictum tristique tellus. Nunc mollis sem sit amet lectus malesuada elementum."
12,"logitech mouse scelerisque",../images/products/msi-mouse.png,"10, 000 dpi",Wireless,"Tracking sensor",12,logitech,"Proin nec consequat ante. Sed finibus lectus nisl, et blandit felis vehicula eget. Vivamus id eleifend eros. Nam id ornare arcu. Pellentesque ac urna felis. Donec eu neque felis. Proin rutrum tincidunt urna, sed mattis turpis malesuada et. Aliquam tortor ex, volutpat vitae felis quis, malesuada lacinia tellus. Nullam sed aliquet nulla."
